1990,2000,2010,2020
279.6,301.4,315.5,322.1
279.4,298,309.8,322
278,288.7,308.5,315.3
277.6,288.7,307.3,314
277.6,288.5,307.2,313.8
277.4,288.3,305.7,312.8
276.7,287.3,305.7,312.4
276.6,286.4,304.5,312
275.8,286.3,302.5,311.6
274.8,285.8,301.1,311
273.4,285.5,300.7,311
272.9,285,300,310.2
272.6,284.7,299.1,309.8
272.6,284.6,298.9,309.6
272.5,284.3,298.2,309
271.8,284.3,298.2,308.9
271.6,284.1,297.7,308.8
271.3,283.5,297.3,308.5
271.1,283.4,296.8,308.1
270.9,283.4,296.5,308
270.8,282.8,296.5,307.8
270.8,282.1,296.3,307.6
270.8,281.7,296.2,307.2
270.7,281.3,296,307.1
270.7,281.2,295.9,307
270.4,281.1,295.8,306.6
270.4,280.8,295.7,305.8
269.5,280.3,295.7,305.7
269.1,280.1,295.6,305.7
269.1,279.9,295.5,305.4
268.7,279.7,295,305.4
268.6,279.2,294.5,305.1
268.5,279,294.4,304.5
268.5,278.9,294.3,304.4
268.4,278.9,294.2,304.2
268.2,278.9,294,303.8
268.1,278.7,294,303.7
267.5,278.4,294,303.6
267.5,278.3,293.9,303.4
267.4,278.3,293.7,303.1
267.4,278.2,293.4,302.7
267.4,278.1,293.3,302.5
267.3,278,293.3,302.3
267.3,277.9,293.1,302.3
267,277.8,292.9,302.1
267,277.8,292.8,302.1
266.8,277.7,292.7,302
266.7,277.6,292.7,302
266.6,277.6,292.4,301.9
266.4,277.5,292.4,301.9
266.4,277.5,292.3,301.9
266.2,277.1,292.1,301.8
266,277.1,292,301.7
266,277,292,301.7
266,276.8,291.9,301.6
265.8,276.6,291.9,301.6
265.7,276.4,291.8,301.6
265.7,276.4,291.7,301.6
265.6,276.4,291.7,301.5
265.6,276.4,291.4,301.5
265.5,276.2,291.4,301.2
265.5,276,291.4,301.1
265.5,275.8,291.3,301
265.5,275.8,290.9,301
265.5,275.7,290.9,300.9
265.4,275.5,290.8,300.9
265.2,275.4,290.8,300.6
265.1,275.2,290.6,300.6
265,275.2,290.6,300.5
265,275.2,290.3,300.3
265,275.1,290.3,300.2
265,275,290.2,300.1
264.9,274.9,290.2,299.8
264.8,274.9,289.9,299.7
264.5,274.8,289.7,299.6
264.5,274.8,289.7,299.4
264.4,274.8,289.6,299.3
264.4,274.7,289.3,299.3
264,274.7,289.3,299.3
264,274.6,289.2,299.3
264,274.5,289.2,299
264,274.5,289.1,298.7
263.9,274.4,289.1,298.7
263.7,274.1,289,298.4
263.7,273.9,288.9,298.2
263.7,273.8,288.7,298.2
263.5,273.8,288.7,298.1
263.5,273.6,288.6,298.1
263.3,273.5,288.6,298
263.3,273.4,288.4,297.8
263.3,273.4,288.4,297.7
263.3,273.4,288.2,297.6
263.3,273.3,288.1,297.6
263.2,273.3,288.1,297.5
263.1,273.3,288,297.4
263.1,273.3,287.9,297.4
263,273.2,287.8,297.3
263,273.2,287.7,297.3
263,273.2,287.6,297.3
263,273.2,287.3,297.2
